0,1,table_caption,category
Distance,3.80 km,Average when primarily using Walking,traffic
Walking,19.86 min,Average when primarily using Walking,traffic
Waiting,1.07 min,Average when primarily using Walking,traffic
Driving Car,0.43 min,Average when primarily using Walking,traffic
Motorcycle,0.09 min,Average when primarily using Walking,traffic
Bus/Trolleybus Ride,0.57 min,Average when primarily using Walking,traffic
Tram/Streetcat Ride,0.23 min,Average when primarily using Walking,traffic
Train/Metro Ride,1.73 min,Average when primarily using Walking,traffic
Overall,23.98 min,Average when primarily using Walking,traffic
